z_int:4: alist_name:NR_2_0_4
C parse3 flogtanh[0x0008b]:0x0000f
C parse3 flogtanh[0x0008c]:0x0000e
C parse3 flogtanh[0x0008d]:0x0000e
C parse3 flogtanh[0x0008e]:0x0000e
C parse3 flogtanh[0x0008f]:0x0000e
C parse3 flogtanh[0x00090]:0x0000e
C parse3 flogtanh[0x00091]:0x0000d
C parse3 flogtanh[0x00092]:0x0000d
C parse3 flogtanh[0x00093]:0x0000d
C parse3 flogtanh[0x00094]:0x0000d
C parse3 flogtanh[0x00095]:0x0000d
C parse3 flogtanh[0x00096]:0x0000c
C parse3 flogtanh[0x00097]:0x0000c
C parse3 flogtanh[0x00098]:0x0000c
C parse3 flogtanh[0x00099]:0x0000c
C parse3 flogtanh[0x0009a]:0x0000c
C parse3 flogtanh[0x0009b]:0x0000b
C parse3 flogtanh[0x0009c]:0x0000b
C parse3 flogtanh[0x0009d]:0x0000b
C parse3 flogtanh[0x0009e]:0x0000b
C parse3 flogtanh[0x0009f]:0x0000b
C parse3 flogtanh[0x000a0]:0x0000b
C parse3 flogtanh[0x000a1]:0x0000a
C parse3 flogtanh[0x000a2]:0x0000a
C parse3 flogtanh[0x000a3]:0x0000a
C parse3 flogtanh[0x000a4]:0x0000a
C parse3 flogtanh[0x000a5]:0x0000a
C parse3 flogtanh[0x000a6]:0x0000a
C parse3 flogtanh[0x000a7]:0x00009
C parse3 flogtanh[0x000a8]:0x00009
C parse3 flogtanh[0x000a9]:0x00009
C parse3 flogtanh[0x000aa]:0x00009
C parse3 flogtanh[0x000ab]:0x00009
C parse3 flogtanh[0x000ac]:0x00009
C parse3 flogtanh[0x000ad]:0x00009
C parse3 flogtanh[0x000ae]:0x00008
C parse3 flogtanh[0x000af]:0x00008
C parse3 flogtanh[0x000b0]:0x00008
C parse3 flogtanh[0x000b1]:0x00008
C parse3 flogtanh[0x000b2]:0x00008
C parse3 flogtanh[0x000b3]:0x00008
C parse3 flogtanh[0x000b4]:0x00008
C parse3 flogtanh[0x000b5]:0x00008
C parse3 flogtanh[0x000b6]:0x00007
C parse3 flogtanh[0x000b7]:0x00007
C parse3 flogtanh[0x000b8]:0x00007
C parse3 flogtanh[0x000b9]:0x00007
C parse3 flogtanh[0x000ba]:0x00007
C parse3 flogtanh[0x000bb]:0x00007
C parse3 flogtanh[0x000bc]:0x00007
C parse3 flogtanh[0x000bd]:0x00007
C parse3 flogtanh[0x000be]:0x00007
C parse3 flogtanh[0x000bf]:0x00006
C parse3 flogtanh[0x000c0]:0x00006
C parse3 flogtanh[0x000c1]:0x00006
C parse3 flogtanh[0x000c2]:0x00006
C parse3 flogtanh[0x000c3]:0x00006
C parse3 flogtanh[0x000c4]:0x00006
C parse3 flogtanh[0x000c5]:0x00006
C parse3 flogtanh[0x000c6]:0x00006
C parse3 flogtanh[0x000c7]:0x00006
C parse3 flogtanh[0x000c8]:0x00006
C parse3 flogtanh[0x000c9]:0x00006
C parse3 flogtanh[0x000ca]:0x00005
C parse3 flogtanh[0x000cb]:0x00005
C parse3 flogtanh[0x000cc]:0x00005
C parse3 flogtanh[0x000cd]:0x00005
C parse3 flogtanh[0x000ce]:0x00005
C parse3 flogtanh[0x000cf]:0x00005
C parse3 flogtanh[0x000d0]:0x00005
C parse3 flogtanh[0x000d1]:0x00005
C parse3 flogtanh[0x000d2]:0x00005
C parse3 flogtanh[0x000d3]:0x00005
C parse3 flogtanh[0x000d4]:0x00005
C parse3 flogtanh[0x000d5]:0x00005
C parse3 flogtanh[0x000d6]:0x00005
C parse3 flogtanh[0x000d7]:0x00004
C parse3 flogtanh[0x000d8]:0x00004
C parse3 flogtanh[0x000d9]:0x00004
C parse3 flogtanh[0x000da]:0x00004
C parse3 flogtanh[0x000db]:0x00004
C parse3 flogtanh[0x000dc]:0x00004
C parse3 flogtanh[0x000dd]:0x00004
C parse3 flogtanh[0x000de]:0x00004
C parse3 flogtanh[0x000df]:0x00004
C parse3 flogtanh[0x000e0]:0x00004
C parse3 flogtanh[0x000e1]:0x00004
C parse3 flogtanh[0x000e2]:0x00004
C parse3 flogtanh[0x000e3]:0x00004
C parse3 flogtanh[0x000e4]:0x00004
C parse3 flogtanh[0x000e5]:0x00004
C parse3 flogtanh[0x000e6]:0x00004
C parse3 flogtanh[0x000e7]:0x00003
C parse3 flogtanh[0x000e8]:0x00003
C parse3 flogtanh[0x000e9]:0x00003
C parse3 flogtanh[0x000ea]:0x00003
C parse3 flogtanh[0x000eb]:0x00003
C parse3 flogtanh[0x000ec]:0x00003
C parse3 flogtanh[0x000ed]:0x00003
C parse3 flogtanh[0x000ee]:0x00003
C parse3 flogtanh[0x000ef]:0x00003
C parse3 flogtanh[0x000f0]:0x00003
C parse3 flogtanh[0x000f1]:0x00003
C parse3 flogtanh[0x000f2]:0x00003
C parse3 flogtanh[0x000f3]:0x00003
C parse3 flogtanh[0x000f4]:0x00003
C parse3 flogtanh[0x000f5]:0x00003
C parse3 flogtanh[0x000f6]:0x00003
C parse3 flogtanh[0x000f7]:0x00003
C parse3 flogtanh[0x000f8]:0x00003
C parse3 flogtanh[0x000f9]:0x00003
C parse3 flogtanh[0x000fa]:0x00003
C parse3 flogtanh[0x000fb]:0x00003
C parse3 flogtanh[0x000fc]:0x00002
C parse3 flogtanh[0x000fd]:0x00002
C parse3 flogtanh[0x000fe]:0x00002
C parse3 flogtanh[0x000ff]:0x00002
C parse3 flogtanh[0x00100]:0x00002
C parse3 flogtanh[0x00101]:0x00002
C parse3 flogtanh[0x00102]:0x00002
C parse3 flogtanh[0x00103]:0x00002
C parse3 flogtanh[0x00104]:0x00002
C parse3 flogtanh[0x00105]:0x00002
C parse3 flogtanh[0x00106]:0x00002
C parse3 flogtanh[0x00107]:0x00002
C parse3 flogtanh[0x00108]:0x00002
C parse3 flogtanh[0x00109]:0x00002
C parse3 flogtanh[0x0010a]:0x00002
C parse3 flogtanh[0x0010b]:0x00002
C parse3 flogtanh[0x0010c]:0x00002
C parse3 flogtanh[0x0010d]:0x00002
C parse3 flogtanh[0x0010e]:0x00002
